iter	RMSE
0	15.6906049
1	15.48129129
2	15.32890531
3	15.17708178
4	15.09789002
5	14.90317963
6	14.73510161
7	14.6137825
8	14.46221564
9	14.29405714
10	14.17330981
11	14.04536553
12	13.89387628
13	13.76401539
14	13.60406319
15	13.49957106
16	13.37036747
17	13.24503426
18	13.12371748
19	13.00145107
20	12.90230207
21	12.76994631
22	12.64075742
23	12.55412105
24	12.43913851
25	12.33133085
26	12.21761541
27	12.11597043
28	12.030882
29	11.96612196
30	11.87080286
31	11.78612926
32	11.67880857
33	11.6027835
34	11.5053569
35	11.39966407
36	11.31984493
37	11.24347118
38	11.15119524
39	11.06349426
40	10.98889126
41	10.92358009
42	10.86057622
43	10.79282611
44	10.742851
45	10.65778846
46	10.58574122
47	10.51721961
48	10.4682696
49	10.41128638
50	10.36151101
51	10.31061337
52	10.23715911
53	10.18563645
54	10.11311688
55	10.0310799
56	9.979968316
57	9.924584851
58	9.881720194
59	9.816579605
60	9.737209085
61	9.679109983
62	9.622348574
63	9.567822374
64	9.526168681
65	9.484346152
66	9.438993501
67	9.369147003
68	9.297812968
69	9.246869598
70	9.209680565
71	9.160727153
72	9.125984898
73	9.094828902
74	9.059456339
75	9.008483457
76	8.963912039
77	8.914228254
78	8.868522708
79	8.813716023
80	8.777937352
81	8.708528634
82	8.661818804
83	8.601498093
84	8.550816822
85	8.513397245
86	8.472755896
87	8.414133616
88	8.376220126
89	8.322641883
90	8.284530984
91	8.264991957
92	8.200491274
93	8.160246828
94	8.117863708
95	8.073790222
96	8.040457737
97	8.013254297
98	7.945591198
99	7.908906004
100	7.867435968
101	7.832081123
102	7.800698056
103	7.771929136
104	7.749771153
105	7.692236059
106	7.676363969
107	7.65144076
108	7.620964335
109	7.587520776
110	7.539786723
111	7.502615724
112	7.460324639
113	7.431939044
114	7.397922933
115	7.375695407
116	7.334950663
117	7.289130258
118	7.263862571
119	7.241597982
120	7.22464772
121	7.200847204
122	7.162192665
123	7.13527161
124	7.099683303
125	7.080515807
126	7.05663174
127	7.024798582
128	6.994766085
129	6.981046248
130	6.951573865
131	6.911933539
132	6.882190448
133	6.859184213
134	6.83783522
135	6.804223927
136	6.786145076
137	6.763370954
138	6.719805309
139	6.693950875
140	6.670814658
141	6.643607963
142	6.621010795
143	6.597767479
144	6.581998535
145	6.550954117
146	6.517862749
147	6.501480232
148	6.487800573
149	6.459959461
150	6.436872119
151	6.418810755
152	6.391971288
153	6.375707202
154	6.352223277
155	6.326501015
156	6.309318969
157	6.273287692
158	6.25434924
159	6.227990176
160	6.207824775
161	6.196002229
162	6.177424209
163	6.166817313
164	6.138316893
165	6.11599662
166	6.083038985
167	6.057401615
168	6.04038671
169	6.023136486
170	5.998431161
171	5.970503927
172	5.940602618
173	5.912635946
174	5.892450582
175	5.876456771
176	5.865372287
177	5.828785808
178	5.802060803
179	5.779061617
180	5.762651162
181	5.731508412
