iter	Passed	Remaining
0	1	1154
1	2	1054
2	3	998
3	3	984
4	4	970
5	5	943
6	6	913
7	7	891
8	7	866
9	8	847
10	9	837
11	10	827
12	10	819
13	11	818
14	12	810
15	13	803
16	13	796
17	14	790
18	15	783
19	15	778
20	16	776
21	17	772
22	18	772
23	18	770
24	19	767
25	20	771
26	21	767
27	22	764
28	22	761
29	23	760
30	24	762
31	25	759
32	25	759
33	26	756
34	27	753
35	28	751
36	28	748
37	29	747
38	30	745
39	30	743
40	31	743
41	32	745
42	35	788
43	37	813
44	39	846
45	40	844
46	41	842
47	42	840
48	43	837
49	43	834
50	45	845
51	46	843
52	47	841
53	47	840
54	48	837
55	49	834
56	50	832
57	51	829
58	51	826
59	52	825
60	53	824
61	54	821
62	55	819
63	55	816
64	56	813
65	57	811
66	58	807
67	58	805
68	59	802
69	60	800
70	61	798
71	61	795
72	62	794
73	63	792
74	63	789
75	64	786
76	65	783
77	66	781
78	66	779
79	67	776
80	68	774
81	69	773
82	69	770
83	70	769
84	71	767
85	72	766
86	72	764
87	73	762
88	74	760
89	75	759
90	75	757
91	76	755
92	77	754
93	78	752
94	78	751
95	79	749
96	80	747
97	81	746
98	81	744
99	82	742
100	83	740
101	83	738
102	84	737
103	85	735
104	86	734
105	86	732
106	87	730
107	88	729
108	89	728
109	89	726
110	90	725
111	91	724
112	92	722
113	92	721
114	93	719
115	94	718
116	95	717
117	95	715
118	96	713
119	97	711
120	97	711
121	98	710
122	99	709
123	100	707
124	100	706
125	101	705
126	102	704
127	103	702
128	103	702
129	104	701
130	105	699
131	106	698
132	107	697
133	107	696
134	108	695
135	109	693
136	109	692
137	110	690
138	111	689
139	112	688
140	112	687
141	113	685
142	114	684
143	115	683
144	115	682
145	116	681
146	117	680
147	117	679
148	118	677
149	119	676
150	120	676
151	120	674
152	121	673
153	122	672
154	123	671
155	123	670
156	124	668
157	125	667
158	126	666
159	126	666
160	127	665
161	128	664
162	129	663
163	129	662
164	130	661
165	131	660
166	132	659
167	132	658
168	133	657
169	134	656
170	135	655
171	135	654
172	136	653
173	137	652
174	138	651
175	138	649
176	139	648
177	140	647
178	140	646
179	141	645
180	142	645
181	143	644
182	144	643
183	144	641
184	145	640
185	146	639
186	146	638
187	147	637
188	148	636
189	149	635
190	149	633
191	150	632
192	150	631
193	151	630
194	152	629
195	153	627
196	153	626
197	154	626
198	155	625
199	156	624
200	156	623
201	157	622
202	158	621
203	158	620
204	159	619
205	160	618
206	161	617
207	161	616
208	162	615
209	163	614
210	164	613
211	164	612
212	165	611
213	166	610
214	167	609
215	167	609
216	168	608
217	169	607
218	169	606
219	170	605
220	171	604
221	172	603
222	172	602
223	173	601
224	174	600
225	175	599
226	175	598
227	176	597
228	177	596
229	178	596
230	178	595
231	179	594
232	180	593
233	180	592
234	181	591
235	182	590
236	183	589
237	183	588
238	184	587
239	185	587
240	186	586
241	186	585
242	187	584
243	188	583
244	188	582
245	190	582
246	190	581
247	191	582
248	192	581
249	193	580
250	194	580
251	195	580
252	196	579
253	197	578
254	197	578
255	198	577
256	199	577
257	200	576
258	201	575
259	202	574
260	202	574
261	203	573
262	204	572
263	205	572
264	206	571
265	207	571
266	207	571
267	208	570
268	209	569
269	210	568
270	211	568
271	212	568
272	213	567
273	214	567
274	215	567
275	215	566
276	216	565
277	217	565
278	218	565
279	219	564
280	220	564
281	221	563
282	222	563
283	223	562
284	223	561
285	225	562
286	226	562
287	227	561
288	228	562
289	229	562
290	230	561
291	231	561
292	232	560
293	233	559
294	234	559
295	234	558
296	235	558
297	236	557
298	237	556
299	238	555
300	238	554
301	239	554
302	240	554
303	241	553
304	242	553
305	243	552
306	244	552
307	245	552
308	246	551
309	247	551
310	248	550
311	249	550
312	250	549
313	251	548
314	251	547
315	252	546
316	253	545
317	253	544
318	254	543
319	255	542
320	256	541
321	257	541
322	258	541
323	258	540
324	259	539
325	260	538
326	261	537
327	261	536
328	262	535
329	263	534
330	264	533
331	264	532
332	265	532
333	266	531
334	267	530
335	267	529
336	268	528
337	269	527
338	270	526
339	270	525
340	271	524
341	272	524
342	273	523
343	273	522
344	274	521
345	275	520
346	276	519
347	276	518
348	277	517
349	278	517
350	279	516
351	279	515
352	280	514
353	281	513
354	282	512
355	282	511
356	283	510
357	284	509
358	285	509
359	285	508
360	286	507
361	287	506
362	288	505
363	288	504
364	289	503
365	290	503
366	291	502
367	291	501
368	292	500
369	293	499
370	294	498
371	294	497
372	295	496
373	296	496
374	297	495
375	297	494
376	298	493
377	299	492
378	300	491
379	300	490
380	301	490
381	302	489
382	303	488
383	303	487
384	304	486
385	305	485
386	306	485
387	307	484
388	307	483
389	308	482
390	309	481
391	310	480
392	310	479
393	311	479
394	312	478
395	312	477
396	313	476
397	314	475
398	315	474
399	315	473
400	316	473
401	317	472
402	318	471
403	319	470
404	319	469
405	320	468
406	321	468
407	322	467
408	322	466
409	323	465
410	324	464
411	324	463
412	325	462
413	326	461
414	327	461
415	327	460
416	328	459
417	329	458
418	330	457
419	330	456
420	331	456
421	332	455
422	333	454
423	333	453
424	334	452
425	335	451
426	336	450
427	336	450
428	337	449
429	338	448
430	338	447
431	339	446
432	340	445
433	341	444
434	341	443
435	342	443
436	343	442
437	344	441
438	344	440
439	345	439
440	346	439
441	347	438
442	347	437
443	348	436
444	349	435
445	349	434
446	350	433
447	351	432
448	352	432
449	352	431
450	353	430
451	354	429
452	355	428
453	355	427
454	356	427
455	357	426
456	358	425
457	358	424
458	359	423
459	360	422
460	360	422
461	361	421
462	362	420
463	363	419
464	363	418
465	364	417
466	365	417
467	366	416
468	367	415
469	367	414
470	368	414
471	369	413
472	370	412
473	370	411
474	371	410
475	372	409
476	373	409
477	373	408
478	374	407
479	375	406
480	376	405
481	376	404
482	377	404
483	378	403
484	379	403
485	380	402
486	381	401
487	382	401
488	383	400
489	384	400
490	385	399
491	386	398
492	386	397
493	387	397
494	388	396
495	389	395
496	390	394
497	391	394
498	391	393
499	392	392
500	393	392
501	394	391
502	395	390
503	396	389
504	396	389
505	398	388
506	399	388
507	400	387
508	400	386
509	401	385
510	402	385
511	403	384
512	404	383
513	405	383
514	405	382
515	406	381
516	407	380
517	408	379
518	408	379
519	410	378
520	411	378
521	412	377
522	413	376
523	414	376
524	415	375
525	416	375
526	416	374
527	417	373
528	418	372
529	419	371
530	420	371
531	420	370
532	421	369
533	422	368
534	423	367
535	424	367
536	424	366
537	425	365
538	426	364
539	427	363
540	427	363
541	428	362
542	429	361
543	430	360
544	431	359
545	431	359
546	432	358
547	433	357
548	434	356
549	434	355
550	435	354
551	436	354
552	437	353
553	437	352
554	438	351
555	439	350
556	440	349
557	440	349
558	441	348
559	442	347
560	442	346
561	443	345
562	444	344
563	445	344
564	445	343
565	446	342
566	447	341
567	448	340
568	448	340
569	449	339
570	450	338
571	451	337
572	451	336
573	452	335
574	453	335
575	454	334
576	454	333
577	455	332
578	456	331
579	457	330
580	457	330
581	458	329
582	459	328
583	460	327
584	460	326
585	461	326
586	462	325
587	462	324
588	463	323
589	464	322
590	465	321
591	465	321
592	466	320
593	467	319
594	468	318
595	468	317
596	469	316
597	470	316
598	471	315
599	471	314
600	472	313
601	473	312
602	474	312
603	474	311
604	475	310
605	476	309
606	477	308
607	477	308
608	478	307
609	479	306
610	480	305
611	480	304
612	481	304
613	482	303
614	483	302
615	483	301
616	484	300
617	485	300
618	486	299
619	486	298
620	487	297
621	488	296
622	489	295
623	489	295
624	490	294
625	491	293
626	491	292
627	492	291
628	493	290
629	494	290
630	494	289
631	495	288
632	496	288
633	497	287
634	498	286
635	499	285
636	499	284
637	500	284
638	501	283
639	502	282
640	502	281
641	503	280
642	504	279
643	504	279
644	505	278
645	506	277
646	506	276
647	507	275
648	508	275
649	509	274
650	510	273
651	510	272
652	511	271
653	512	271
654	512	270
655	513	269
656	514	268
657	515	267
658	515	266
659	516	266
660	517	265
661	518	264
662	518	263
663	519	262
664	520	262
665	520	261
666	521	260
667	522	259
668	523	258
669	523	258
670	524	257
671	525	256
672	526	255
673	526	254
674	527	253
675	528	253
676	528	252
677	529	251
678	530	250
679	531	249
680	531	249
681	532	248
682	533	247
683	534	246
684	534	245
685	535	245
686	536	244
687	536	243
688	537	242
689	538	241
690	539	241
691	539	240
692	540	239
693	541	238
694	542	237
695	542	237
696	543	236
697	544	235
698	545	234
699	545	233
700	546	233
701	547	232
702	548	231
703	548	230
704	549	229
705	550	229
706	551	228
707	551	227
708	552	226
709	553	225
710	553	225
711	554	224
712	555	223
713	556	222
714	556	221
715	557	221
716	558	220
717	559	219
718	560	218
719	560	218
720	561	217
721	562	216
722	563	215
723	563	214
724	564	214
725	565	213
726	565	212
727	566	211
728	567	210
729	568	210
730	568	209
731	570	208
732	570	207
733	571	207
734	572	206
735	573	205
736	574	204
737	575	204
738	575	203
739	576	202
740	577	201
741	578	201
742	579	200
743	580	199
744	581	198
745	582	198
746	582	197
747	583	196
748	584	195
749	585	195
750	586	194
751	586	193
752	588	193
753	589	192
754	590	191
755	591	190
756	592	190
757	593	189
758	593	188
759	594	187
760	595	187
761	596	186
762	596	185
763	597	184
764	598	183
765	599	183
766	600	182
767	600	181
768	601	180
769	602	179
770	603	179
771	604	178
772	605	177
